Fecha,Tmax,Tmin
2018-04-01,13.7,3.4
2018-04-02,11.1,7
2018-04-03,9.2,5.2
2018-04-04,12.3,3.2
2018-04-05,13.2,0.2
2018-04-06,16.6,3.4
2018-04-07,10.7,4.1
2018-04-08,12.9,0.3
2018-04-09,10.8,3.3
2018-04-10,8.5,1.8
2018-04-11,11.6,-0.1
2018-04-12,8.4,1.3
2018-04-13,10.3,4.5
2018-04-14,13.6,3.9
2018-04-15,13.2,6.7
2018-04-16,14.3,2.8
2018-04-17,19.7,2.9
2018-04-18,23.2,7
2018-04-19,21.9,8.9
2018-04-20,20.3,9.4
2018-04-21,17.6,7.4
2018-04-22,19.9,8.2
2018-04-23,23.7,7.6
2018-04-24,25.3,9.4
2018-04-25,25.6,10.3
2018-04-26,20.1,4.1
2018-04-27,17.1,7.3
2018-04-28,12,5.6
2018-04-29,8.6,1.5
2018-04-30,9.4,0.7
